n_peticion,slug_peticion,modelo,tiempo_segundos,power_before_w,temperature_before_c,power_after_w,temperature_after_c
19,api_SYNO_FakeModule_Bogus_method_nonexistent_version_1,zephyr,2,77.14,31,77.14,31
20,api_SYNO_Core_System_method_info_version_999,gemma,4,77.38,31,77.02,31
20,api_SYNO_Core_System_method_info_version_999,llama3,5,77.02,31,77.02,31
20,api_SYNO_Core_System_method_info_version_999,zephyr,2,77.14,31,77.02,31
21,api_SYNO_Core_User_method_delete_version_1_user_name_,gemma,4,77.02,31,77.02,31
21,api_SYNO_Core_User_method_delete_version_1_user_name_,llama3,3,77.02,31,77.02,31
21,api_SYNO_Core_User_method_delete_version_1_user_name_,zephyr,1,77.02,31,76.89,31
22,api_SYNO_Core_User_metod_login_version_1,gemma,0,76.89,31,76.89,31
22,api_SYNO_Core_User_metod_login_version_1,llama3,0,76.89,31,76.89,31
22,api_SYNO_Core_User_metod_login_version_1,zephyr,1,76.89,31,76.89,31
